Epoch  29 | Time     4 | Train Loss 5.8759 | Test Loss 5.997 | Test Error 100.00
Epoch  79 | Time     4 | Train Loss 4.0937 | Test Loss 5.452 | Test Error 100.00
Epoch  30 | Time     4 | Train Loss 5.8519 | Test Loss 5.988 | Test Error 100.00
Epoch  80 | Time     4 | Train Loss 4.0326 | Test Loss 5.452 | Test Error 100.00
Epoch  31 | Time     5 | Train Loss 5.8597 | Test Loss 5.983 | Test Error 100.00
Epoch  81 | Time     5 | Train Loss 3.9722 | Test Loss 5.452 | Test Error 100.00
Epoch  32 | Time     5 | Train Loss 5.8627 | Test Loss 5.974 | Test Error 100.00
Epoch  82 | Time     4 | Train Loss 3.9589 | Test Loss 5.451 | Test Error 100.00
Epoch  33 | Time     5 | Train Loss 5.8479 | Test Loss 5.970 | Test Error 100.00
Epoch  83 | Time     4 | Train Loss 3.9190 | Test Loss 5.451 | Test Error 100.00
Epoch  34 | Time     4 | Train Loss 5.8739 | Test Loss 5.965 | Test Error 100.00
Epoch  84 | Time     4 | Train Loss 3.9049 | Test Loss 5.451 | Test Error 100.00
Epoch  35 | Time     4 | Train Loss 5.8366 | Test Loss 5.957 | Test Error 100.00
Epoch  85 | Time     4 | Train Loss 3.8425 | Test Loss 5.451 | Test Error 100.00
Epoch  36 | Time     5 | Train Loss 5.8294 | Test Loss 5.941 | Test Error 100.00
Epoch  86 | Time     4 | Train Loss 3.8206 | Test Loss 5.450 | Test Error 100.00
Epoch  37 | Time     4 | Train Loss 5.8212 | Test Loss 5.920 | Test Error 100.00
Epoch  87 | Time     4 | Train Loss 3.7968 | Test Loss 5.449 | Test Error 100.00
Epoch  38 | Time     4 | Train Loss 5.8268 | Test Loss 5.908 | Test Error 100.00
Epoch  88 | Time     4 | Train Loss 3.7659 | Test Loss 5.449 | Test Error 100.00
Epoch  39 | Time     5 | Train Loss 5.8139 | Test Loss 5.887 | Test Error 100.00
Epoch  89 | Time     4 | Train Loss 3.7443 | Test Loss 5.449 | Test Error 100.00
Epoch  40 | Time     4 | Train Loss 5.8308 | Test Loss 5.866 | Test Error 99.99
