epoch,time(s),train_loss,test_loss,test_error(%)
001,00010,32.285715,6.55331,100.00
002,00004,32.177671,6.49760,100.00
003,00004,32.041581,6.45172,100.00
004,00004,31.865707,6.41478,100.00
005,00004,31.618872,6.40085,100.00
006,00004,31.300716,6.37601,100.00
007,00004,30.864293,6.34301,100.00
