epoch,time(s),train_loss,test_loss,test_error(%)
168,00004,3.269512,5.33268,100.00
169,00004,3.288698,5.33210,100.00
170,00004,3.291677,5.33088,100.00
171,00004,3.297533,5.32972,100.00
172,00004,3.274881,5.32965,100.00
173,00004,3.318543,5.33077,100.00
174,00004,3.256017,5.33056,100.00
175,00004,3.270916,5.33021,100.00
176,00004,3.280427,5.32962,100.00
177,00004,3.232005,5.32903,100.00
178,00004,3.221555,5.32840,100.00
179,00004,3.255386,5.32798,100.00
180,00004,3.145457,5.32611,100.00
181,00004,3.240484,5.32426,100.00
182,00004,3.259418,5.32436,100.00
183,00004,3.208703,5.32512,100.00
184,00004,3.209518,5.32503,100.00
185,00005,3.213469,5.32318,100.00
186,00005,3.194389,5.32105,100.00
187,00004,3.235569,5.31943,100.00
188,00004,3.193596,5.31940,100.00
189,00004,3.147826,5.32031,100.00
190,00004,3.220026,5.32048,100.00
191,00004,3.243847,5.32102,100.00
192,00004,3.188048,5.32169,100.00
193,00004,3.133886,5.32125,100.00
194,00004,3.138170,5.32158,100.00
195,00004,3.184242,5.32189,100.00
196,00004,3.230180,5.32142,100.00
197,00004,3.142163,5.32119,100.00
198,00004,3.170028,5.32086,100.00
199,00004,3.121918,5.31984,100.00
200,00005,3.139879,5.31840,100.00
201,00004,3.143465,5.31762,100.00
202,00004,3.160904,5.31735,100.00
203,00004,3.178871,5.31721,100.00
204,00004,3.117740,5.31690,100.00
205,00004,3.070857,5.31732,100.00
206,00004,3.100344,5.31740,100.00
207,00004,3.134515,5.31769,100.00
208,00005,3.054986,5.31857,100.00
209,00004,3.159074,5.31889,100.00
210,00004,3.099029,5.31798,100.00
211,00004,3.091328,5.31704,100.00
212,00004,3.136255,5.31607,100.00
213,00004,3.186651,5.31504,100.00
214,00004,3.066305,5.31465,100.00
215,00004,3.088192,5.31427,100.00
216,00004,3.119965,5.31472,100.00
217,00004,3.053931,5.31574,100.00
218,00004,3.083038,5.31731,100.00
219,00004,3.147584,5.31853,100.00
220,00004,3.041943,5.31908,100.00
221,00004,3.009900,5.32039,100.00
222,00004,3.081380,5.31964,100.00
223,00004,3.104098,5.31788,100.00
224,00004,3.056621,5.31618,100.00
225,00004,3.096372,5.31535,100.00
226,00004,3.007482,5.31491,100.00
227,00004,3.023548,5.31471,100.00
228,00004,3.099579,5.31556,100.00
229,00004,3.061764,5.31681,100.00
230,00004,3.007884,5.31762,100.00
231,00004,3.038698,5.31755,100.00
232,00004,3.078815,5.31632,100.00
233,00004,3.022837,5.31657,100.00
234,00004,2.944600,5.31680,100.00
235,00004,3.061898,5.31646,100.00
236,00004,2.987579,5.31540,100.00
237,00004,3.003592,5.31572,100.00
238,00004,2.990106,5.31609,100.00
239,00004,3.029142,5.31656,100.00
240,00004,2.990329,5.31797,100.00
241,00004,3.021287,5.31765,100.00
242,00004,3.045502,5.31691,100.00
243,00004,2.942626,5.31767,100.00
244,00004,2.991242,5.31755,100.00
245,00004,3.028112,5.31560,100.00
246,00004,2.970634,5.31436,100.00
247,00004,3.012908,5.31368,100.00
248,00004,2.925344,5.31494,100.00
249,00004,2.971207,5.31632,100.00
250,00004,2.942376,5.31735,100.00
251,00004,2.978285,5.31754,100.00
252,00004,2.999554,5.31681,100.00
253,00004,2.979803,5.31636,100.00
254,00004,2.955345,5.31478,100.00
255,00004,2.932010,5.31343,100.00
256,00004,2.950995,5.31329,100.00
257,00004,2.922136,5.31315,100.00
258,00004,3.012579,5.31269,100.00
259,00004,2.892245,5.31279,100.00
260,00004,2.939850,5.31310,100.00
261,00004,2.918436,5.31420,100.00
262,00004,2.934253,5.31346,100.00
263,00004,2.869636,5.31278,100.00
264,00004,2.903393,5.31261,100.00
265,00004,2.921691,5.31401,100.00
266,00004,2.937214,5.31564,100.00
267,00004,2.922426,5.31562,100.00
268,00004,2.927941,5.31630,100.00
269,00004,2.876705,5.31582,100.00
270,00004,2.893914,5.31545,100.00
271,00004,2.934685,5.31697,100.00
272,00004,2.900823,5.31818,100.00
273,00004,2.865781,5.31800,100.00
274,00004,2.830186,5.31893,100.00
275,00004,2.897592,5.31923,100.00
276,00004,2.924896,5.31974,100.00
277,00004,2.905906,5.31974,100.00
278,00004,2.867488,5.31869,100.00
279,00004,2.862653,5.31750,100.00
280,00004,2.945382,5.31621,100.00
281,00004,2.929756,5.31606,100.00
282,00004,2.881685,5.31664,100.00
283,00004,2.853367,5.31806,100.00
284,00004,2.916459,5.31895,100.00
285,00004,2.895079,5.31828,100.00
286,00004,2.873375,5.31934,100.00
287,00004,2.862889,5.32019,100.00
288,00005,2.833400,5.32031,100.00
289,00004,2.842329,5.31998,100.00
290,00004,2.829436,5.32022,100.00
291,00004,2.793820,5.32206,100.00
292,00004,2.811234,5.32318,100.00
293,00004,2.729381,5.32346,100.00
294,00004,2.826064,5.32285,100.00
295,00004,2.842322,5.32211,100.00
296,00004,2.803417,5.32037,100.00
297,00004,2.782004,5.31873,100.00
298,00004,2.835090,5.31780,100.00
299,00004,2.830270,5.31710,100.00
300,00004,2.824046,5.31664,100.00
301,00004,2.868632,5.31587,100.00
302,00004,2.837180,5.31512,100.00
303,00004,2.824991,5.31243,100.00
304,00004,2.829828,5.31118,100.00
305,00004,2.921650,5.30930,100.00
306,00004,2.781925,5.30922,100.00
307,00004,2.787677,5.31063,100.00
308,00004,2.768507,5.31229,100.00
309,00004,2.826749,5.31313,100.00
310,00004,2.800993,5.31474,100.00
311,00004,2.789395,5.31614,100.00
312,00004,2.762593,5.31659,100.00
313,00004,2.673153,5.31580,100.00
314,00004,2.796933,5.31294,100.00
315,00004,2.810224,5.31083,100.00
316,00004,2.786006,5.30997,100.00
317,00004,2.737165,5.30986,100.00
318,00004,2.774547,5.30820,100.00
319,00004,2.779301,5.30906,100.00
320,00004,2.779072,5.31083,100.00
321,00004,2.729096,5.31346,100.00
322,00004,2.792078,5.31648,100.00
323,00004,2.761426,5.31780,100.00
324,00004,2.750125,5.31780,100.00
325,00004,2.801559,5.31525,100.00
326,00004,2.725787,5.31111,100.00
327,00004,2.742651,5.31082,100.00
328,00004,2.712313,5.31135,100.00
329,00004,2.772060,5.31155,100.00
330,00004,2.747368,5.31290,100.00
331,00004,2.766416,5.31371,100.00
332,00004,2.617516,5.31258,100.00
333,00004,2.766758,5.31351,100.00
334,00004,2.676871,5.31324,100.00
335,00004,2.678366,5.31482,100.00
336,00004,2.734278,5.31524,100.00
337,00004,2.666199,5.31558,100.00
338,00004,2.639304,5.31756,100.00
339,00004,2.687788,5.31802,100.00
340,00004,2.611667,5.31822,100.00
341,00004,2.688938,5.31726,100.00
342,00004,2.734373,5.31789,100.00
343,00004,2.662570,5.31735,100.00
344,00004,2.725976,5.31631,100.00
345,00004,2.649975,5.31645,100.00
346,00004,2.733450,5.31353,100.00
347,00004,2.704359,5.31022,100.00
348,00004,2.671286,5.30981,100.00
349,00004,2.691676,5.31166,100.00
350,00004,2.722163,5.31187,100.00
351,00004,2.682513,5.31299,100.00
352,00004,2.653105,5.30887,99.99
353,00004,2.639957,5.30571,100.00
354,00004,2.686361,5.30893,100.00
355,00004,2.661355,5.31218,100.00
356,00004,2.722711,5.31445,100.00
357,00004,2.691538,5.31423,100.00
358,00004,2.696411,5.31390,100.00
359,00004,2.628637,5.31459,100.00
360,00004,2.579201,5.31561,100.00
361,00004,2.588762,5.31765,100.00
362,00004,2.636964,5.31780,100.00
363,00004,2.712252,5.31863,100.00
364,00004,2.668516,5.31790,100.00
365,00004,2.713404,5.31839,100.00
366,00004,2.702609,5.31897,100.00
367,00004,2.693148,5.32105,100.00
368,00004,2.610572,5.32084,100.00
369,00004,2.688927,5.32164,100.00
370,00004,2.601401,5.31995,100.00
371,00004,2.598625,5.31853,100.00
372,00004,2.642420,5.31749,100.00
373,00004,2.641110,5.31526,100.00
374,00004,2.548035,5.31275,100.00
375,00004,2.626562,5.31215,100.00
376,00005,2.631508,5.31177,99.99
377,00004,2.601862,5.30872,99.99
378,00004,2.658378,5.30722,99.99
379,00004,2.616812,5.30588,99.99
380,00004,2.585528,5.30747,99.99
381,00004,2.683797,5.31002,99.99
382,00004,2.639058,5.30996,99.99
