Epoch  53 | Time     4 | Train Loss 9.0783 | Test Loss 5.451 | Test Error 100.00
Epoch  31 | Time     5 | Train Loss 5.8800 | Test Loss 6.010 | Test Error 100.00
Epoch  54 | Time     4 | Train Loss 8.7760 | Test Loss 5.451 | Test Error 100.00
Epoch  32 | Time     4 | Train Loss 5.8880 | Test Loss 6.003 | Test Error 100.00
Epoch  55 | Time     4 | Train Loss 8.5576 | Test Loss 5.450 | Test Error 100.00
Epoch  33 | Time     4 | Train Loss 5.8902 | Test Loss 5.991 | Test Error 100.00
Epoch  56 | Time     5 | Train Loss 8.4826 | Test Loss 5.449 | Test Error 100.00
Epoch  34 | Time     4 | Train Loss 5.8824 | Test Loss 5.975 | Test Error 100.00
Epoch  57 | Time     4 | Train Loss 8.3514 | Test Loss 5.450 | Test Error 100.00
Epoch  35 | Time     4 | Train Loss 5.8627 | Test Loss 5.960 | Test Error 100.00
Epoch  58 | Time     4 | Train Loss 7.9980 | Test Loss 5.450 | Test Error 100.00
Epoch  36 | Time     4 | Train Loss 5.8748 | Test Loss 5.942 | Test Error 100.00
Epoch  59 | Time     4 | Train Loss 7.7637 | Test Loss 5.451 | Test Error 100.00
Epoch  37 | Time     4 | Train Loss 5.8606 | Test Loss 5.929 | Test Error 100.00
Epoch  60 | Time     4 | Train Loss 7.5836 | Test Loss 5.451 | Test Error 100.00
Epoch  38 | Time     5 | Train Loss 5.8533 | Test Loss 5.913 | Test Error 100.00
Epoch  61 | Time     4 | Train Loss 7.2517 | Test Loss 5.451 | Test Error 100.00
Epoch  39 | Time     4 | Train Loss 5.8572 | Test Loss 5.901 | Test Error 100.00
Epoch  62 | Time     4 | Train Loss 7.1947 | Test Loss 5.452 | Test Error 100.00
Epoch  40 | Time     4 | Train Loss 5.8805 | Test Loss 5.889 | Test Error 100.00
Epoch  63 | Time     4 | Train Loss 6.8983 | Test Loss 5.453 | Test Error 100.00
Epoch  41 | Time     4 | Train Loss 5.8627 | Test Loss 5.882 | Test Error 100.00
Epoch  64 | Time     4 | Train Loss 6.7090 | Test Loss 5.454 | Test Error 100.00
Epoch  42 | Time     4 | Train Loss 5.8330 | Test Loss 5.861 | Test Error 99.99
Epoch  65 | Time     4 | Train Loss 6.6460 | Test Loss 5.454 | Test Error 100.00
Epoch  66 | Time     4 | Train Loss 6.4057 | Test Loss 5.453 | Test Error 100.00
Epoch  43 | Time     5 | Train Loss 5.8436 | Test Loss 5.859 | Test Error 100.00
Epoch  67 | Time     4 | Train Loss 6.2013 | Test Loss 5.452 | Test Error 100.00
Epoch  44 | Time     4 | Train Loss 5.8487 | Test Loss 5.842 | Test Error 100.00
Epoch  68 | Time     4 | Train Loss 6.0876 | Test Loss 5.452 | Test Error 100.00
Epoch  45 | Time     4 | Train Loss 5.8311 | Test Loss 5.830 | Test Error 100.00
Epoch  69 | Time     4 | Train Loss 5.8957 | Test Loss 5.451 | Test Error 100.00
Epoch  46 | Time     4 | Train Loss 5.8246 | Test Loss 5.816 | Test Error 99.99
Epoch  70 | Time     4 | Train Loss 5.6381 | Test Loss 5.451 | Test Error 100.00
Epoch  47 | Time     4 | Train Loss 5.8471 | Test Loss 5.801 | Test Error 99.99
Epoch  71 | Time     4 | Train Loss 5.5469 | Test Loss 5.450 | Test Error 100.00
Epoch  48 | Time     4 | Train Loss 5.8210 | Test Loss 5.782 | Test Error 99.99
Epoch  72 | Time     4 | Train Loss 5.4322 | Test Loss 5.450 | Test Error 100.00
Epoch  49 | Time     5 | Train Loss 5.8309 | Test Loss 5.778 | Test Error 99.99
Epoch  73 | Time     4 | Train Loss 5.2143 | Test Loss 5.450 | Test Error 100.00
Epoch  50 | Time     6 | Train Loss 5.8055 | Test Loss 5.761 | Test Error 99.99
Epoch  74 | Time     4 | Train Loss 5.0541 | Test Loss 5.449 | Test Error 100.00
Epoch  51 | Time     5 | Train Loss 5.7852 | Test Loss 5.747 | Test Error 99.99
Epoch  75 | Time     5 | Train Loss 4.9598 | Test Loss 5.449 | Test Error 100.00
Epoch  52 | Time     4 | Train Loss 5.8118 | Test Loss 5.732 | Test Error 99.99
Epoch  76 | Time     4 | Train Loss 4.9243 | Test Loss 5.448 | Test Error 100.00
Epoch  53 | Time     4 | Train Loss 5.8108 | Test Loss 5.727 | Test Error 99.99
Epoch  77 | Time     4 | Train Loss 4.8496 | Test Loss 5.447 | Test Error 100.00
Epoch  54 | Time     4 | Train Loss 5.8097 | Test Loss 5.712 | Test Error 99.99
Epoch  78 | Time     4 | Train Loss 4.6462 | Test Loss 5.446 | Test Error 100.00
Epoch  55 | Time     4 | Train Loss 5.7970 | Test Loss 5.694 | Test Error 99.99
Epoch  79 | Time     4 | Train Loss 4.6030 | Test Loss 5.444 | Test Error 100.00
Epoch  56 | Time     4 | Train Loss 5.7922 | Test Loss 5.682 | Test Error 99.99
